id;num_ver;id_ver;num_edg;id_edg
0;3;0;1;2;3;0;1;3
1;3;0;2;3;3;1;2;5
2;3;1;2;3;3;3;4;5
3;3;0;1;3;3;0;2;4
4;4;0;4;1;5;4;6;9;10;7
5;4;0;4;2;6;4;6;12;13;8
6;4;0;6;3;5;4;8;16;15;7
7;4;6;2;7;3;4;13;14;17;16
8;4;3;5;1;7;4;15;10;11;17
9;4;2;7;1;4;4;14;11;9;12
10;3;12;10;9;3;26;22;24
11;3;12;11;9;3;28;23;24
12;3;12;11;8;3;28;19;20
13;3;12;8;10;3;20;18;26
14;3;13;8;10;3;21;18;27
15;3;13;10;9;3;27;22;25
16;3;13;9;11;3;25;23;29
17;3;13;11;8;3;29;19;21
18;5;19;6;22;0;18;5;34;33;30;31;58
19;5;3;19;18;5;23;5;38;58;41;39;36
20;5;3;17;16;6;19;5;37;54;35;34;38
21;5;5;18;0;14;15;5;41;31;32;55;40
22;5;21;7;25;1;20;5;49;50;53;52;59
23;5;2;21;20;4;24;5;47;59;44;43;45
24;5;2;16;17;7;21;5;46;54;48;49;47
25;5;4;20;1;15;14;5;44;52;51;55;42
26;5;4;14;0;22;24;5;42;32;30;56;43
27;5;2;24;22;6;16;5;45;56;33;35;46
28;5;7;17;3;23;25;5;48;37;36;57;50
29;5;1;25;23;5;15;5;53;57;39;40;51
30;3;37;31;30;3;68;63;64
31;3;31;34;30;3;64;65;60
32;3;31;29;34;3;61;60;80
33;3;31;28;29;3;62;89;61
34;3;28;31;37;3;62;63;83
35;3;37;30;27;3;68;67;85
36;3;27;30;26;3;67;66;88
37;3;30;34;26;3;65;78;66
38;3;32;36;33;3;77;71;73
39;3;32;35;33;3;74;72;73
40;3;32;28;36;3;76;86;77
41;3;29;28;32;3;89;76;75
42;3;29;32;35;3;75;74;82
43;3;35;33;26;3;72;69;81
44;3;26;33;27;3;69;70;88
45;3;33;36;27;3;71;87;70
46;3;36;28;37;3;86;83;84
47;3;36;37;27;3;84;85;87
48;3;35;34;29;3;79;80;82
49;3;35;26;34;3;81;78;79
